,Unnamed: 0,article_id,article_url,comment_count,year,date,title,datetimeobject
1,22610,109,https://www.nytimes.com/video/world/europe/100000007318835/schools-reopen-worldwide-despite-coronavirus.html,0,2020,01/01/1975,schools reopen worldwide despite coronavirus,1975-01-01
30,22613,112,https://www.nytimes.com/video/us/politics/100000007318527/mnuchin-coronavirus-stimulus-video.html,0,2020,01/01/1975,mnuchin coronavirus stimulus video,1975-01-01
34,23752,1251,https://www.nytimes.com/video/us/politics/100000007331572/biden-trump-woodward-covid-michigan.html,0,2020,01/01/1975,biden trump woodward covid michigan,1975-01-01
35,23742,1241,https://www.nytimes.com/video/us/politics/100000007331976/mcenany-trump-covid-virus.html,0,2020,01/01/1975,mcenany trump covid virus,1975-01-01
37,23723,1222,https://www.nytimes.com/video/world/europe/100000007331793/boris-johnson-covid-restrictions.html,0,2020,01/01/1975,boris johnson covid restrictions,1975-01-01
58,23007,506,https://www.nytimes.com/video/us/politics/100000007323276/pfizer-coronavirus-vaccine-october.html,0,2020,01/01/1975,pfizer coronavirus vaccine october,1975-01-01
60,22832,331,https://www.nytimes.com/video/us/politics/100000007320987/pompeo-who-coronavirus-vaccine.html,0,2020,01/01/1975,pompeo who coronavirus vaccine,1975-01-01
92,20621,2559,https://www.nytimes.com/video/us/politics/100000007296394/australia-coronavirus-vaccine.html,0,2020,01/01/1975,australia coronavirus vaccine,1975-01-01
139,26836,4335,https://www.nytimes.com/video/us/politics/100000007367852/nyc-school-reopening-virus-covid.html,0,2020,01/01/1975,nyc school reopening virus covid,1975-01-01
152,26317,3816,https://www.nytimes.com/video/us/politics/100000007361936/desantis-florida-coronavirus-restaurants-restrictions.html,0,2020,01/01/1975,desantis florida coronavirus restaurants restrictions,1975-01-01
167,27294,184,https://www.nytimes.com/video/us/politics/100000007373119/pelosi-stimulus-covid-relief-package.html,0,2020,01/01/1975,pelosi stimulus covid relief package,1975-01-01
196,26268,3767,https://www.nytimes.com/interactive/2020/obituaries/notable-deaths-business-economics.html,0,2020,01/01/1975,notable deaths business economics,1975-01-01
200,24943,2442,https://www.nytimes.com/video/world/europe/100000007346029/who-resurgence-covid-virus-europe.html,0,2020,01/01/1975,who resurgence covid virus europe,1975-01-01
206,24558,2057,https://www.nytimes.com/video/world/middleeast/100000007341703/pakistan-schools-reopen-virus-covid-universities.html,0,2020,01/01/1975,pakistan schools reopen virus covid universities,1975-01-01
215,24122,1621,https://www.nytimes.com/video/world/europe/100000007336352/france-coronavirus-testing.html,0,2020,01/01/1975,france coronavirus testing,1975-01-01
220,23960,1459,https://www.nytimes.com/video/us/politics/100000007334631/trump-woodward-coronavirus-interview.html,0,2020,01/01/1975,trump woodward coronavirus interview,1975-01-01
