,Headline,Positive,Negative,Neutral,date,article_id
0,ashton carter us defense secretary warns of al qaeda gains in yemen,0.09859082102775574,0.6095885634422302,0.29182061553001404,2015-09-04,21849
1,online lenders offer a faster lifeline for small businesses,0.451974093914032,0.011180715635418892,0.5368452072143555,2015-09-04,21916
2,pesticides probably more harmful than previously thought scientist group warns,0.0699712410569191,0.14668646454811096,0.7833423018455505,2015-09-04,21940
3,new images show china literally gaining ground in south china sea,0.8455687761306763,0.016229229047894478,0.1382019966840744,2015-09-04,21932
4,heirs to french art dealer may benefit from sale of monet lost during world war ii,0.16830205917358398,0.009071451611816883,0.822626531124115,2015-09-04,22198
5,rand paul tells republican critics war is not a game,0.05565870925784111,0.12042709439992905,0.8239141702651978,2015-09-04,22202
6,italian artisans revival after economic crisis reflects resilience of small industry,0.9418039321899414,0.01947496458888054,0.038721028715372086,2015-09-04,22039
7,eu david cameron business referendum election uk,0.04910801723599434,0.07899095118045807,0.8719010353088379,2015-09-05,28582
8,russia and china sign cooperation pacts,0.6388891935348511,0.014483497478067875,0.3466273248195648,2015-09-05,28677
9,australian teenager is accused of planning terrorist attack,0.03815210983157158,0.6650648713111877,0.2967830300331116,2015-09-05,28827
10,verbatim marco rubio on terrorists,0.0447828508913517,0.022413384169340134,0.932803750038147,2015-09-05,28882
11,a world war ii anniversary for planes and memories,0.0968955010175705,0.02589663490653038,0.87720787525177,2015-09-05,28794
12,china church crosses,0.057909782975912094,0.03335224464535713,0.9087379574775696,2015-09-05,28573
13,as russia remembers war in europe guest of honor is from china,0.057166602462530136,0.019287751987576485,0.9235457181930542,2015-09-05,28551
14,pakistan helicopter crash kills 2 ambassadors,0.024093033745884895,0.8497445583343506,0.12616239488124847,2015-09-05,28555
15,mers viruss path one man many south korean hospitals,0.10813707113265991,0.494343638420105,0.3975193500518799,2015-09-06,35329
16,migrants global refugee crisis mediterranean ukraine syria rohingya malaysia iraq,0.02562793903052807,0.4392717182636261,0.5351003408432007,2015-09-06,35319
17,us raid in syria uncovers details on isis leadership and finances,0.02930961549282074,0.5008053779602051,0.46988508105278015,2015-09-06,35192
18,iceland to lift capital controls imposed after financial crisis,0.40790483355522156,0.4320977032184601,0.15999743342399597,2015-09-06,35185
19,families of nepalese killed in marine helicopter crash ask compensation,0.04163364693522453,0.40915191173553467,0.5492144227027893,2015-09-06,35255
20,berlin wary of bush legacy prepares to meet jeb,0.04440814256668091,0.06312759965658188,0.892464280128479,2015-09-06,35182
21,supreme court backs white house on jerusalem passport dispute,0.09652461111545563,0.18392319977283478,0.7195521593093872,2015-09-06,35181
22,mers virus path in south korea,0.16130168735980988,0.5937934517860413,0.24490487575531006,2015-09-06,35607
23,greek debt dispute highlights prospect of a euro exit,0.05523970350623131,0.8831434845924377,0.061616815626621246,2015-09-07,41734
24,bad math and a coming public pension crisis,0.00931219570338726,0.9539503455162048,0.036737553775310516,2015-09-07,41780
25,hacker feared retaliation from clients court documents show,0.02618466317653656,0.8812400698661804,0.0925753116607666,2015-09-07,41691
